                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.95214,                 3.0442,                 1.5991,                 1.2718,                0.57701,                0.79167,                0.65547,                0.44488,                0.46264,                0.68164,                0.48695,                 0.1356,                0.77253,                      0,                 3.7268,                0.77597,              0.0015446,              0.0015446,              0.0015446
                     25,                0.92854,                 2.9261,                 1.5563,                 1.2417,                0.86052,                 0.9375,                0.95743,                0.66781,                 0.7649,                0.83333,                0.80676,                0.29135,                0.73265,                      0,                 3.0141,                0.75186,              0.0015248,              0.0015248,              0.0015248
                     26,                0.88567,                 2.7315,                 1.5282,                 1.2214,                0.92809,                   0.75,                0.89588,                0.60804,                0.86118,                 0.6875,                0.70189,                0.20186,                0.89501,                      0,                 3.2387,                0.83792,               0.001505,               0.001505,               0.001505
                     27,                0.87398,                 2.8973,                 1.5148,                 1.2127,                0.99397,                      1,                  0.995,                0.80863,                0.89573,                  0.875,                0.83854,                0.41192,                0.69264,                      0,                 2.4878,                0.68975,              0.0014852,              0.0014852,              0.0014852
                     28,                0.89764,                 2.6906,                 1.5884,                 1.2302,                0.00608,                0.02083,                0.00099,                0.00016,                      0,                      0,                      0,                      0,                 4.8373,                      0,                 20.362,                 4.3078,              0.0014654,              0.0014654,              0.0014654
                     29,                0.93796,                 3.0251,                 1.6209,                 1.2437,                0.81253,                 0.9933,                0.93221,                0.69463,                0.72731,                0.88913,                0.76741,                0.24634,                0.62989,                      0,                 2.7784,                0.64326,              0.0014456,              0.0014456,              0.0014456
                     30,                0.85443,                 2.5003,                 1.5091,                 1.1856,                0.46152,                0.91667,                0.65762,                0.38566,                0.33134,                0.70204,                0.36961,                0.08909,                0.88597,                      0,                 3.4314,                0.85906,              0.0014258,              0.0014258,              0.0014258
                     31,                0.84592,                 2.6726,                 1.4961,                 1.1825,                0.56061,                0.85417,                0.66386,                0.34553,                0.44789,                0.62532,                0.43661,                0.13299,                 1.0573,                      0,                 3.5175,                0.91996,               0.001406,               0.001406,               0.001406
                     32,                0.90256,                 2.6444,                 1.5279,                 1.2223,                  0.627,                0.97917,                0.67778,                0.53988,                  0.627,                0.97917,                0.67778,                0.26931,                0.60329,                      0,                 2.8676,                0.63635,              0.0013862,              0.0013862,              0.0013862
                     33,                0.86464,                 2.3454,                 1.5077,                 1.1949,                0.71891,                 0.9375,                0.79962,                0.64256,                0.68947,                0.89583,                0.71701,                0.29399,                0.61476,                      0,                 2.9599,                0.63544,              0.0013664,              0.0013664,              0.0013664
                     34,                0.86191,                 2.1563,                 1.5304,                 1.2017,                0.85977,                0.89417,                0.87024,                0.72816,                0.76715,                0.79167,                0.70429,                0.37306,                0.60122,                      0,                 2.9503,                0.64284,              0.0013466,              0.0013466,              0.0013466
                     35,                0.85862,                 2.2778,                 1.5217,                 1.1893,                0.86637,                0.94559,                0.97406,                0.66817,                0.78776,                0.83333,                0.80304,                 0.3031,                0.66311,                      0,                 2.8437,                0.67364,              0.0013268,              0.0013268,              0.0013268
                     36,                0.82787,                 2.3071,                 1.4696,                 1.1785,                 0.8601,                0.97917,                0.92061,                 0.7145,                0.80148,                0.91667,                0.82996,                0.33286,                0.66032,                      0,                 2.8814,                0.70836,               0.001307,               0.001307,               0.001307
                     37,                0.80606,                 2.2105,                 1.4338,                 1.1538,                0.76548,                0.95833,                0.91316,                0.72143,                0.72985,                0.91667,                 0.8476,                0.46089,                0.62432,                      0,                 2.7579,                0.64952,              0.0012872,              0.0012872,              0.0012872
                     38,                0.79914,                 2.3745,                  1.486,                 1.1615,                0.46859,                0.93689,                0.51074,                0.34459,                0.38925,                 0.8125,                0.36105,                0.16395,                0.62854,                      0,                 3.1378,                0.65662,              0.0012674,              0.0012674,              0.0012674
                     39,                0.85237,                 2.4083,                 1.4933,                 1.1867,                 0.7843,                 0.9091,                0.89772,                0.71505,                 0.7656,                 0.8847,                0.85975,                0.40215,                0.61516,                      0,                 2.7199,                0.64589,              0.0012476,              0.0012476,              0.0012476
                     40,                 0.8122,                 2.3546,                 1.4917,                 1.1798,                0.81773,                0.97917,                0.95135,                0.74164,                0.74573,                0.89583,                0.79775,                0.36927,                 0.5882,                      0,                 2.7603,                0.63666,              0.0012278,              0.0012278,              0.0012278
