                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.90216,                 2.0892,                 2.1677,                 1.3256,                0.21407,                      1,                   0.83,                0.56742,                0.21407,                      1,                0.84243,                0.68039,                0.49508,                      0,                 5.1461,                0.66413,             0.00065185,             0.00065185,             0.00065185
                      1,                0.77588,                 1.2307,                 1.8115,                 1.1979,                0.28535,                0.79487,                0.28617,                0.14897,                0.26694,                0.74359,                0.29034,                0.16473,                0.75906,                      0,                 5.1837,                0.89745,              0.0012924,              0.0012924,              0.0012924
                      2,                0.83318,                 1.2759,                 1.7629,                 1.2299,                 0.8725,                0.94872,                 0.9501,                0.70768,                0.80576,                0.87179,                0.87476,                0.34262,                0.71207,                      0,                 4.5165,                0.82272,              0.0019066,              0.0019066,              0.0019066
                      3,                0.78642,                 1.2196,                 1.6833,                 1.1949,                0.06013,                      1,                0.08629,                0.05218,                0.06013,                      1,                0.08641,                0.06167,                 1.0022,                      0,                 4.9862,                 1.1583,              0.0018812,              0.0018812,              0.0018812
                      4,                0.82356,                 1.3304,                 1.6292,                 1.2089,                0.43635,                0.97436,                0.79849,                0.31023,                0.44052,                0.97436,                0.80394,                0.49755,                 1.5823,                      0,                 4.1093,                 1.5446,              0.0018812,              0.0018812,              0.0018812
                      5,                0.85789,                 1.3023,                 1.5936,                 1.2452,                0.32359,                0.94872,                0.53929,                0.31898,                0.32359,                0.94872,                0.51272,                 0.2795,                0.72037,                      0,                 3.6779,                0.93761,              0.0018416,              0.0018416,              0.0018416
                      6,                 0.8356,                 1.4202,                 1.6319,                 1.2265,                0.41049,                 0.5641,                0.55388,                0.29694,                0.47319,                 0.5641,                0.55849,                0.32855,                 1.3663,                      0,                 4.3965,                 1.4646,               0.001802,               0.001802,               0.001802
                      7,                0.87325,                 1.5172,                 1.6413,                 1.2499,                0.49746,                0.86308,                0.75252,                 0.4041,                0.49746,                0.86308,                0.75252,                0.39923,                 1.0353,                      0,                 3.5851,                  1.183,              0.0017624,              0.0017624,              0.0017624
                      8,                0.86673,                 1.4501,                 1.6004,                 1.2378,                 0.5992,                 0.8434,                0.66028,                0.39351,                0.58099,                0.81776,                0.64425,                0.44375,                 1.0843,                      0,                 4.0526,                 1.2462,              0.0017228,              0.0017228,              0.0017228
                      9,                0.86279,                 1.3366,                 1.5541,                  1.242,                0.47557,                0.79487,                0.65379,                0.33019,                0.47557,                0.79487,                0.65379,                0.39865,                0.84676,                      0,                 3.4689,                0.93099,              0.0016832,              0.0016832,              0.0016832
                     10,                0.82971,                 1.2465,                 1.5673,                 1.2333,                0.81438,                0.89744,                0.87795,                0.60842,                0.81438,                0.89744,                0.87795,                0.67697,                0.85154,                      0,                 3.1228,                0.91394,              0.0016436,              0.0016436,              0.0016436
                     11,                0.83132,                 1.2508,                  1.568,                 1.2169,                0.68355,                0.97436,                0.86472,                0.47609,                0.65777,                0.94872,                0.83476,                0.46796,                0.95903,                      0,                 3.4617,                  1.053,               0.001604,               0.001604,               0.001604
                     12,                0.84706,                 1.2267,                 1.6007,                 1.2198,                0.62635,                0.97436,                 0.9313,                0.64188,                0.62635,                0.97436,                 0.9313,                0.77198,                0.69223,                      0,                 3.2546,                0.80545,              0.0015644,              0.0015644,              0.0015644
                     13,                0.84455,                 1.2898,                 1.6426,                 1.2487,                0.63756,                0.85711,                0.80715,                0.60683,                0.63756,                0.85711,                0.80715,                0.67643,                 0.6333,                      0,                 3.3944,                0.80141,              0.0015248,              0.0015248,              0.0015248
                     14,                0.85442,                 1.4102,                  1.584,                 1.2379,                0.85031,                0.87394,                0.94732,                0.71513,                0.87526,                0.89958,                0.94999,                0.78108,                0.81588,                      0,                 2.9482,                 0.9104,              0.0014852,              0.0014852,              0.0014852
                     15,                0.81778,                 1.1879,                 1.6109,                 1.2275,                0.95715,                0.97436,                 0.9928,                 0.7011,                0.98234,                      1,                  0.995,                0.79623,                0.68868,                      0,                 3.0493,                0.79271,              0.0014456,              0.0014456,              0.0014456
                     16,                0.83852,                 1.1457,                 1.5701,                 1.2225,                0.88599,                0.99635,                0.98237,                0.64563,                0.88599,                0.99635,                0.98237,                0.69519,                 1.0717,                      0,                 3.1139,                 1.0488,               0.001406,               0.001406,               0.001406
                     17,                0.81355,                 1.1324,                  1.601,                 1.2108,                0.96388,                      1,                  0.995,                0.78986,                0.96388,                      1,                  0.995,                0.86524,                0.59198,                      0,                 3.0056,                0.73089,              0.0013664,              0.0013664,              0.0013664
                     18,                 0.7974,                 1.1995,                 1.6114,                  1.195,                0.78215,                      1,                0.96713,                0.74526,                0.78215,                      1,                0.97465,                0.76271,                0.66834,                      0,                 3.1264,                0.79356,              0.0013268,              0.0013268,              0.0013268
                     19,                0.83106,                 1.2186,                 1.5904,                 1.2001,                0.85985,                0.94395,                0.96584,                0.74898,                0.85985,                0.94395,                0.96584,                0.81781,                0.59933,                      0,                 2.8608,                0.72091,              0.0012872,              0.0012872,              0.0012872
                     20,                0.79062,                 1.1939,                 1.5747,                 1.2054,                0.67861,                      1,                0.79053,                0.55747,                0.67861,                      1,                 0.7952,                0.64964,                0.91651,                      0,                 2.6675,                0.96956,              0.0012476,              0.0012476,              0.0012476
                     21,                0.78239,                 1.2928,                 1.5602,                 1.2034,                0.97502,                      1,                  0.995,                0.82417,                0.97502,                      1,                  0.995,                0.85628,                0.58823,                      0,                  2.519,                0.73316,               0.001208,               0.001208,               0.001208
