                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.93735,                 2.2723,                 2.2599,                 1.3724,                0.11942,                      1,                0.94545,                0.55761,                0.11942,                      1,                0.94545,                0.72084,                0.69609,                      0,                 5.3773,                0.91852,                 0.0006,                 0.0006,                 0.0006
                      1,                0.82832,                 1.3359,                 1.8611,                  1.227,                0.30284,                0.88889,                0.36184,                0.22511,                0.30284,                0.88889,                0.37762,                0.24628,                0.60646,                      0,                 4.5944,                0.82997,              0.0011999,              0.0011999,              0.0011999
                      2,                0.81982,                 1.2155,                 1.7709,                  1.235,                 0.3108,                0.56805,                 0.3253,                0.19226,                 0.3108,                0.56805,                 0.3253,                0.22921,                0.75201,                      0,                 6.1914,                 1.1487,              0.0017793,              0.0017793,              0.0017793
                      3,                 0.8381,                 1.1721,                 1.7891,                 1.2417,                0.29831,                0.78736,                0.31424,                0.20019,                0.30111,                0.74074,                0.33393,                0.24182,                0.69826,                      0,                 5.7909,                0.93573,               0.001901,               0.001901,               0.001901
                      4,                0.85666,                 1.2878,                 1.7004,                 1.2454,                0.40876,                0.59259,                0.49347,                0.29656,                0.32486,                0.58819,                0.36654,                0.23491,                0.64053,                      0,                 4.4998,                0.91955,               0.001901,               0.001901,               0.001901
                      5,                0.80301,                 1.1799,                 1.6934,                 1.2087,                0.47329,                      1,                0.72219,                0.47417,                0.47329,                      1,                0.72219,                0.55269,                0.55632,                      0,                 3.9793,                 0.8057,               0.001868,               0.001868,               0.001868
                      6,                0.78109,                 1.1397,                 1.6318,                 1.1725,                0.83292,                      1,                0.97536,                0.75728,                0.83292,                      1,                0.97536,                0.80373,                0.53981,                      0,                 3.4769,                0.76098,               0.001835,               0.001835,               0.001835
                      7,                0.76545,                 1.1956,                 1.6192,                 1.1751,                0.17071,                      1,                0.25114,                0.18233,                0.17071,                      1,                0.25114,                0.18487,                0.48428,                      0,                 4.8265,                0.73077,               0.001802,               0.001802,               0.001802
                      8,                0.78204,                 1.2238,                 1.6068,                  1.191,                0.70208,                      1,                0.92541,                0.71784,                0.70208,                      1,                0.93676,                0.75983,                0.60424,                      0,                 3.1239,                0.75735,               0.001769,               0.001769,               0.001769
                      9,                0.77973,                 1.2377,                 1.5776,                 1.1661,                0.54614,                0.96296,                0.81993,                0.44301,                0.54614,                0.96296,                0.83122,                0.43136,                0.90683,                      0,                 3.6945,                0.97503,               0.001736,               0.001736,               0.001736
                     10,                0.79361,                 1.2105,                 1.5828,                 1.1768,                0.75648,                0.92593,                0.92377,                0.60407,                 0.6893,                0.74074,                 0.6865,                0.32302,                 0.8401,                      0,                 3.0369,                0.95417,               0.001703,               0.001703,               0.001703
                     11,                0.78884,                  1.239,                 1.5698,                 1.1888,                0.21549,                0.37037,                 0.2981,                0.11004,                0.25565,                0.44444,                0.28809,                0.09141,                 1.4539,                      0,                 5.1307,                  1.409,                0.00167,                0.00167,                0.00167
                     12,                0.83445,                 1.2965,                 1.6043,                 1.2163,                0.75746,                0.88889,                0.91152,                0.27431,                0.73224,                0.85185,                0.88701,                 0.4692,                 0.7881,                      0,                  4.558,                 0.8951,               0.001637,               0.001637,               0.001637
                     13,                0.79469,                  1.166,                 1.5355,                 1.1719,                0.52816,                0.96296,                0.67958,                 0.3658,                0.50785,                0.92593,                0.66875,                0.31773,                0.72181,                      0,                 3.8528,                0.88355,               0.001604,               0.001604,               0.001604
