                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 2.0358,                 6.1228,                 2.6941,                 2.1507,                0.01217,                0.46154,                0.01111,                0.00309,                0.00541,                0.20513,                0.00736,                 0.0008,                   2.24,                      0,                 10.106,                 5.0535,              0.0013928,              0.0013928,              0.0013928
                     25,                 1.8904,                 6.1282,                 2.5862,                 2.0832,                0.01797,                0.97436,                 0.0461,                0.01727,                0.00388,                0.69231,                0.00539,                0.00093,                 2.0478,                      0,                  5.227,                 1.7197,              0.0013664,              0.0013664,              0.0013664
                     26,                 1.9839,                 5.5706,                 2.6698,                 2.1479,                0.00429,                      1,                0.13428,                0.06138,                0.00385,                0.89744,                0.07772,                0.01483,                 1.4805,                      0,                 4.7847,                 1.4595,                0.00134,                0.00134,                0.00134
                     27,                 1.7609,                 5.6758,                 2.5143,                 1.9665,                0.02047,                      1,                0.17502,                0.09292,                0.00131,                0.28205,                0.00313,                0.00042,                 1.6104,                      0,                 4.9351,                  1.467,              0.0013136,              0.0013136,              0.0013136
                     28,                 1.6907,                  6.536,                 2.4207,                 1.9112,                0.02055,                      1,                0.16868,                 0.0782,                0.01738,                0.84615,                0.10306,                0.01854,                  1.485,                      0,                 5.0392,                 1.4041,              0.0012872,              0.0012872,              0.0012872
                     29,                  1.657,                 4.8736,                 2.4066,                 1.8656,                0.03703,                      1,                0.17352,                0.08282,                0.03323,                0.89744,                0.12465,                 0.0285,                 1.2752,                      0,                  4.372,                 1.1894,              0.0012608,              0.0012608,              0.0012608
                     30,                 1.7268,                 6.1679,                 2.3963,                 1.8948,                0.03139,                      1,                0.07336,                0.03007,                0.00186,                0.33333,                0.00204,                 0.0003,                 1.5515,                      0,                 5.1373,                 1.3857,              0.0012344,              0.0012344,              0.0012344
                     31,                 1.7907,                 6.4745,                  2.429,                 1.9348,                0.02283,                0.84615,                 0.0372,                0.01425,                0.02183,                0.58974,                0.01744,                0.00242,                 1.8989,                      0,                 5.7675,                 1.5809,               0.001208,               0.001208,               0.001208
                     32,                 1.7413,                 5.8938,                 2.3685,                 1.8995,                0.03551,                      1,                0.07476,                0.03305,                0.00477,                0.89744,                 0.0111,                 0.0021,                  1.308,                      0,                 5.0792,                 1.2091,              0.0011816,              0.0011816,              0.0011816
                     33,                 1.6396,                 5.8534,                 2.2839,                 1.8219,                0.06259,                      1,                0.15087,                 0.0613,                0.05457,                0.87179,                0.10644,                0.01955,                 1.4776,                      0,                  4.565,                 1.2858,              0.0011552,              0.0011552,              0.0011552
                     34,                 1.6379,                 5.0673,                 2.2929,                 1.8244,                0.10442,                      1,                0.42184,                0.19913,                0.10442,                      1,                0.38472,                0.10481,                 1.1554,                      0,                 4.1404,                 1.1218,              0.0011288,              0.0011288,              0.0011288
                     35,                 1.6056,                 4.4508,                 2.3286,                 1.8023,                0.01966,                      1,                0.08309,                0.02597,                0.01916,                0.97436,                0.04503,                0.00883,                  1.777,                      0,                 5.4257,                 1.5528,              0.0011024,              0.0011024,              0.0011024
                     36,                 1.7358,                 5.0469,                 2.3913,                 1.8839,                0.00612,                      1,                 0.0692,                0.02703,                      0,                      0,                      0,                      0,                 1.7583,                      0,                 5.3418,                 1.8211,               0.001076,               0.001076,               0.001076
                     37,                 1.7756,                 4.8694,                 2.4602,                 1.9396,                0.02764,                      1,                0.03938,                0.01334,                0.01757,                      1,                0.03903,                0.01143,                 2.0671,                      0,                  5.598,                 1.8891,              0.0010496,              0.0010496,              0.0010496
                     38,                 1.6423,                 5.2034,                 2.3435,                 1.8376,                0.08799,                0.97436,                0.25879,                0.10626,                0.08336,                0.92308,                0.27059,                0.05916,                 1.6256,                      0,                 4.5044,                 1.4782,              0.0010232,              0.0010232,              0.0010232
                     39,                 1.6299,                 5.0144,                 2.3485,                 1.8094,                0.08183,                0.97436,                0.14456,                0.05252,                0.07537,                0.89744,                   0.12,                0.02934,                 1.5339,                      0,                 4.6694,                 1.4887,              0.0009968,              0.0009968,              0.0009968
                     40,                 1.5759,                 5.0164,                  2.309,                 1.7602,                0.13067,                      1,                0.34269,                0.14122,                0.11604,                0.92308,                0.22929,                0.05171,                 1.2607,                      0,                 4.1762,                 1.2398,              0.0009704,              0.0009704,              0.0009704
                     41,                 1.5134,                 4.9387,                 2.2484,                 1.7386,                 0.1245,                      1,                0.33943,                0.15919,                0.10535,                0.84615,                0.26107,                0.07996,                 1.4478,                      0,                 4.1832,                 1.3416,               0.000944,               0.000944,               0.000944
                     42,                 1.5109,                 4.3659,                 2.2162,                 1.7333,                 0.1155,                      1,                0.24855,                0.10386,                0.09773,                0.84615,                0.14517,                0.03513,                 1.1511,                      0,                 4.5434,                 1.1686,              0.0009176,              0.0009176,              0.0009176
                     43,                 1.5382,                 4.7617,                 2.2667,                 1.7414,                0.02812,                0.92308,                0.04951,                0.01775,                0.00547,                0.17949,                0.01832,                0.00508,                 1.6512,                      0,                 5.6329,                 1.3766,              0.0008912,              0.0008912,              0.0008912
                     44,                 1.5399,                 5.3258,                 2.2561,                 1.7425,                0.11605,                      1,                0.30776,                0.13108,                0.11605,                      1,                0.24492,                0.05212,                 1.2585,                      0,                  4.361,                 1.1932,              0.0008648,              0.0008648,              0.0008648
                     45,                 1.5259,                 4.7582,                 2.2453,                 1.7225,                0.12847,                      1,                0.28805,                0.11103,                 0.1153,                0.89744,                0.19246,                  0.036,                 1.5608,                      0,                 4.4447,                 1.3323,              0.0008384,              0.0008384,              0.0008384
                     46,                 1.5544,                 4.4874,                 2.2925,                 1.7394,                 0.1213,                0.92308,                0.18946,                0.07991,                0.06427,                 0.5641,                0.05705,                0.01327,                 1.1623,                      0,                  4.506,                 1.1458,               0.000812,               0.000812,               0.000812
                     47,                 1.5941,                 5.0349,                 2.3652,                 1.7833,                 0.0406,                      1,                0.12103,                0.04422,                 0.0406,                      1,                0.06103,                0.01749,                 1.4247,                      0,                 4.9803,                 1.2884,              0.0007856,              0.0007856,              0.0007856
                     48,                 1.6847,                 5.9031,                  2.425,                 1.8462,                0.14815,                      1,                 0.3635,                0.17177,                0.14815,                      1,                0.30008,                  0.075,                 1.1592,                      0,                 4.2554,                 1.0966,              0.0007592,              0.0007592,              0.0007592
                     49,                 1.5234,                 4.7985,                 2.2787,                 1.7184,                0.10215,                0.87179,                0.32275,                0.10181,                0.06446,                0.58974,                0.11165,                 0.0192,                 1.3131,                      0,                 4.5178,                 1.2249,              0.0007328,              0.0007328,              0.0007328
                     50,                 1.6853,                 6.2012,                 2.4199,                 1.8546,                0.12269,                0.79487,                0.24137,                0.08151,                0.06058,                0.53846,                0.07705,                0.01695,                 1.6984,                      0,                 5.3746,                 1.5207,              0.0007064,              0.0007064,              0.0007064
                     51,                 1.8433,                  5.921,                 2.5554,                 2.0002,                0.04111,                0.74359,                0.05812,                0.02234,                0.02598,                0.76923,                0.02808,                0.00709,                 1.6324,                      0,                 5.3441,                 1.4676,                0.00068,                0.00068,                0.00068
                     52,                 1.7338,                 4.9233,                  2.377,                 1.8961,                0.15615,                0.69231,                0.19431,                0.07063,                0.09891,                0.89744,                0.16222,                0.05312,                 1.3521,                      0,                 4.7085,                 1.3312,              0.0006536,              0.0006536,              0.0006536
                     53,                 1.5907,                 4.4191,                 2.2873,                 1.7811,                0.06345,                      1,                0.19549,                0.07953,                0.06345,                      1,                0.14765,                0.03574,                 1.4949,                      0,                 4.2924,                 1.3482,              0.0006272,              0.0006272,              0.0006272
                     54,                 1.5589,                 4.4323,                 2.2764,                 1.7429,                0.04712,                      1,                0.23243,                0.10285,                0.04712,                      1,                0.19395,                0.05171,                 1.4674,                      0,                 4.4577,                 1.3616,              0.0006008,              0.0006008,              0.0006008
                     55,                 1.5867,                 4.3848,                 2.2757,                 1.7553,                0.04342,                      1,                0.12731,                0.04814,                0.02225,                0.64103,                0.03259,                0.00614,                 1.3072,                      0,                 4.7012,                 1.2744,              0.0005744,              0.0005744,              0.0005744
                     56,                 1.6302,                  4.719,                 2.3192,                 1.8101,                0.10829,                0.92308,                0.24197,                0.08832,                0.04853,                0.76923,                0.05087,                0.01341,                 1.2946,                      0,                 4.6101,                 1.2194,               0.000548,               0.000548,               0.000548
                     57,                 1.6318,                 4.5137,                 2.3624,                 1.8216,                0.07028,                      1,                0.38655,                  0.161,                0.05947,                0.84615,                0.23318,                0.03768,                 1.3454,                      0,                 4.4904,                 1.2612,              0.0005216,              0.0005216,              0.0005216
