                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.98651,                 2.0785,                 1.7958,                 1.3451,                0.74676,                      1,                0.94875,                0.48006,                0.74676,                      1,                0.94875,                0.55182,                 1.1417,                      0,                 3.6175,                 1.2035,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.2048,                  3.929,                 2.0709,                  1.527,                0.27202,                0.89744,                0.64126,                0.30396,                0.26424,                0.87179,                0.61754,                0.22483,                 1.1917,                      0,                 4.4356,                 1.1618,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.2805,                 3.6931,                 2.1067,                 1.5644,                0.03657,                0.20513,                0.03251,                0.00991,                0.03657,                0.20513,                0.02527,                0.00749,                 2.6042,                      0,                 5.9299,                 2.2657,               0.001505,               0.001505,               0.001505
                     27,                 1.1661,                 2.7985,                 1.9776,                 1.4894,                0.40599,                0.94872,                0.57709,                0.27566,                0.40599,                0.94872,                0.55603,                0.21493,                 1.4227,                      0,                 4.8244,                 1.3811,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.2336,                 3.1578,                 2.0524,                 1.5661,                0.10637,                      1,                0.27096,                0.13754,                 0.1013,                0.97436,                0.22632,                0.08894,                 0.9703,                      0,                 4.9238,                 1.0616,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.0905,                 2.1354,                 1.8093,                 1.4259,                0.63862,                0.81571,                0.86512,                0.57069,                0.63862,                0.81571,                0.86512,                0.38672,                 1.0235,                      0,                 3.8093,                 1.0442,              0.0014456,              0.0014456,              0.0014456
                     30,                0.97737,                 1.6966,                 1.7018,                 1.3402,                0.78957,                0.97436,                0.90728,                0.69623,                0.78957,                0.97436,                0.90728,                0.70522,                0.85545,                      0,                 3.1338,                0.93413,              0.0014258,              0.0014258,              0.0014258
                     31,                0.99111,                  1.712,                 1.7303,                 1.3385,                0.55479,                 0.7669,                0.63882,                0.38147,                0.54393,                0.69231,                0.67868,                0.40314,                0.97865,                      0,                 3.6492,                 1.0148,               0.001406,               0.001406,               0.001406
                     32,                0.99592,                  1.673,                 1.7225,                 1.3392,                0.74292,                0.76923,                0.84752,                0.58803,                0.74292,                0.76923,                0.84752,                0.60306,                0.89433,                      0,                 3.1356,                0.93197,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.0703,                 2.3739,                 1.8544,                 1.4142,                0.37073,                0.79487,                 0.3989,                0.21435,                0.42423,                0.79487,                0.43379,                0.20041,                 1.0932,                      0,                 4.0943,                 1.1226,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.0865,                 2.5064,                 1.8049,                 1.4251,                0.09557,                0.41026,                0.08685,                0.02594,                0.06524,                0.23984,                0.04853,                0.00961,                 2.3832,                      0,                 5.6609,                 1.6816,              0.0013466,              0.0013466,              0.0013466
